"DateTime";"[Chambre][5PST02-A 4in1 Multi-Sensor][Ouverture] ";"[Chambre][Chambre à coucher][Température] °C";"[Lyon][exterieur][Température] °C"
"2018-05-26 04:00:00";;22,8;21,5
"2018-05-26 05:00:00";;22,775;21,325
"2018-05-26 06:00:00";;22,7;21,275
"2018-05-26 07:00:00";;22,7;21,15
"2018-05-26 08:00:00";;22,675;21,7
"2018-05-26 09:00:00";;22,6;22,275
"2018-05-26 10:00:00";;22,525;22,75
"2018-05-26 11:00:00";;22,5;22,65
"2018-05-26 12:00:00";;22,5;23,075
"2018-05-26 13:00:00";;22,5;23,825
"2018-05-26 14:00:00";;22,525;24,35
"2018-05-26 15:00:00";;22,675;25,125
"2018-05-26 15:41:53";1
"2018-05-26 16:00:00";;22,975;25,8
"2018-05-26 17:00:00";;23,175;25,875
"2018-05-26 18:00:00";;23,2;25,35
"2018-05-26 19:00:00";;23,25;25,025
"2018-05-26 20:00:00";;23,275;24,75
"2018-05-26 21:00:00";;23,3;24,5
"2018-05-26 22:00:00";;23,375;24,25
"2018-05-26 23:00:00";;23,4;23,95
"2018-05-27 00:00:00";;23,4;23,6
"2018-05-27 00:48:08";0
"2018-05-27 01:00:00";;23,4;23,425
"2018-05-27 02:00:00";;23,5;23,225
"2018-05-27 03:00:00";;23,5;22,85
"2018-05-27 04:00:00";;23,5;22,5
"2018-05-27 05:00:00";;23,5;22,35
"2018-05-27 06:00:00";;23,5;22,175
"2018-05-27 07:00:00";;23,5;22,1
"2018-05-27 08:00:00";;23,5;22,175
"2018-05-27 09:00:00";;23,55;22,65
"2018-05-27 09:21:15";1
"2018-05-27 10:00:00";;23,425;23,125
"2018-05-27 11:00:00";;23,35;23,7
"2018-05-27 12:00:00";;23,4;24,4
"2018-05-27 13:00:00";;23,45;25,025
"2018-05-27 14:00:00";;23,575;25,325
"2018-05-27 15:00:00";;23,725;26,025
"2018-05-27 16:00:00";;23,8;26,275
"2018-05-27 17:00:00";;23,9;25,75
"2018-05-27 18:00:00";;23,825;25,05
"2018-05-27 19:00:00";;23,5;23,5
"2018-05-27 20:00:00";;23,275;22,75
"2018-05-27 21:00:00";;23,2;22,55
"2018-05-27 22:00:00";;23,2;22,325
"2018-05-27 23:00:00";;23,15;21,925
"2018-05-28 00:00:00";;23,375;21,45
"2018-05-28 01:00:00";;23,3;21,225
"2018-05-28 02:00:00";;23,2;21,3
"2018-05-28 03:00:00";;23,125;21,3
"2018-05-28 04:00:00";;23,1;21,15
"2018-05-28 05:00:00";;22,975;20,9
"2018-05-28 06:00:00";;22,775;20,575
"2018-05-28 07:00:00";;22,6;20,45
"2018-05-28 08:00:00";;22,5;20,625
"2018-05-28 09:00:00";;22,375;20,9
"2018-05-28 10:00:00";;22,375;21,425
"2018-05-28 11:00:00";;22,275;21,55
"2018-05-28 12:00:00";;22,275;22,05
"2018-05-28 13:00:00";;22,475;22,8
"2018-05-28 14:00:00";;22,725;23,45
"2018-05-28 14:12:48";0
"2018-05-28 15:00:00";;22,9;24,125
"2018-05-28 16:00:00";;22,9;23,875
"2018-05-28 17:00:00";;22,9;23,025
"2018-05-28 18:00:00";;22,95;22,55
"2018-05-28 19:00:00";;23;21,575
"2018-05-28 20:00:00";;22,975;21,05
"2018-05-28 21:00:00";;22,925;21,075
"2018-05-28 22:00:00";;22,9;21,025
"2018-05-28 23:00:00";;22,9;20,775
"2018-05-29 00:00:00";;22,875;20,675
"2018-05-29 01:00:00";;22,8;20,5
"2018-05-29 02:00:00";;22,8;20,4
"2018-05-29 03:00:00";;22,8;20,4
"2018-05-29 04:00:00";;22,725;20,375
"2018-05-29 05:00:00";;22,7;20,1
"2018-05-29 06:00:00";;22,7;19,925
